Product ID,Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method,Rating,Reviews
P001,10001,2024-01-01,Electronics,iPhone 14 Pro,2,999.99,1999.98,North America,Credit Card,4.8,"""Excellent camera and battery life"""
P002,10002,2024-01-02,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Europe,PayPal,4.6,"""Powerful suction"," lightweight design"""
P003,10003,2024-01-03,Clothing,Levi's 501 Jeans,3,69.99,209.97,Asia,Debit Card,4.3,"""Comfortable fit"," true to size"""
P004,10004,2024-01-04,Books,The Da Vinci Code,4,15.99,63.96,North America,Credit Card,4.2,"""Gripping storyline"," couldn't put it down"""
P005,10005,2024-01-05,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,Europe,PayPal,4.1,"""Noticeable improvement in skin texture"""
P006,10006,2024-01-06,Sports,Wilson Evolution Basketball,5,29.99,149.95,Asia,Credit Card,4.5,"""Great grip and consistent bounce"""
P007,10007,2024-01-07,Electronics,MacBook Pro 16-inch,1,2499.99,2499.99,North America,Credit Card,4.9,"""Powerful performance"," stunning display"""
P008,10008,2024-01-08,Home Appliances,Blueair Classic 480i,2,599.99,1199.98,Europe,PayPal,4.4,"""Significantly improved air quality"""
P009,10009,2024-01-09,Clothing,Nike Air Force 1,6,89.99,539.94,Asia,Debit Card,4.7,"""Comfortable and stylish"," true to size"""
P010,10010,2024-01-10,Books,Dune by Frank Herbert,2,25.99,51.98,North America,Credit Card,4.6,"""Sci-fi masterpiece"," highly recommend"""
P011,10011,2024-01-11,Beauty Products,Chanel No. 5 Perfume,1,129.99,129.99,Europe,PayPal,4.3,"""Elegant scent"," long-lasting"""
P012,10012,2024-01-12,Sports,Babolat Pure Drive Tennis Racket,3,199.99,599.97,Asia,Credit Card,4.5,"""Great power and control on court"""
P013,10013,2024-01-13,Electronics,Samsung Galaxy Tab S8,2,749.99,1499.98,North America,Credit Card,4.4,"""Smooth performance"," excellent display"""
P014,10014,2024-01-14,Home Appliances,Keurig K-Elite Coffee Maker,1,189.99,189.99,Europe,PayPal,4.2,"""Consistent brew"," easy to use"""
P015,10015,2024-01-15,Clothing,North Face Down Jacket,2,249.99,499.98,Asia,Debit Card,4.6,"""Very warm"," perfect for winter"""
P016,10016,2024-01-16,Books,Salt, Fat, Acid, Heat by Samin Nosrat,3,35.99,107.97,North America,Credit Card,4.7,"""Transformed my cooking approach"""
P017,10017,2024-01-17,Beauty Products,Dyson Supersonic Hair Dryer,1,399.99,399.99,Europe,PayPal,4.8,"""Dries hair quickly with less damage"""
P018,10018,2024-01-18,Sports,Manduka PRO Yoga Mat,4,119.99,479.96,Asia,Credit Card,4.5,"""Excellent grip and cushioning"""
P019,10019,2024-01-19,Electronics,Garmin Forerunner 945,2,499.99,999.98,North America,Credit Card,4.6,"""Accurate tracking"," great battery life"""
P020,10020,2024-01-20,Home Appliances,Ninja Professional Blender,1,99.99,99.99,Europe,PayPal,4.3,"""Powerful blending"," easy to clean"""
P021,10021,2024-01-21,Clothing,Zara Summer Dress,3,59.99,179.97,Asia,Debit Card,4.1,"""Comfortable fabric"," flattering fit"""
P022,10022,2024-01-22,Books,Gone Girl by Gillian Flynn,2,22.99,45.98,North America,Credit Card,4.4,"""Twisting plot"," couldn't predict ending"""
P023,10023,2024-01-23,Beauty Products,Olay Regenerist Face Cream,1,49.99,49.99,Europe,PayPal,4.0,"""Moisturizes well"," non-greasy"""
P024,10024,2024-01-24,Sports,Adidas FIFA World Cup Football,3,29.99,89.97,Asia,Credit Card,4.2,"""Good quality"," holds air well"""
P025,10025,2024-01-25,Electronics,Bose QuietComfort 35 Headphones,1,299.99,299.99,North America,Credit Card,4.7,"""Excellent noise cancellation"," comfortable"""
P026,10026,2024-01-26,Home Appliances,Panasonic NN-SN966S Microwave,1,179.99,179.99,Europe,PayPal,4.3,"""Even heating"," spacious interior"""
P027,10027,2024-01-27,Clothing,Adidas Ultraboost Shoes,2,179.99,359.98,Asia,Debit Card,4.8,"""Extremely comfortable for running"""
P028,10028,2024-01-28,Books,Pride and Prejudice by Jane Austen,3,12.99,38.97,North America,Credit Card,4.5,"""Timeless classic"," beautiful writing"""
P029,10029,2024-01-29,Beauty Products,MAC Ruby Woo Lipstick,1,29.99,29.99,Europe,PayPal,4.6,"""Perfect red shade"," long-wearing"""
P030,10030,2024-01-30,Sports,Nike Air Zoom Pegasus 37,2,129.99,259.98,Asia,Credit Card,4.4,"""Responsive cushioning"," good for daily runs"""
P031,10031,2024-01-31,Electronics,Sony WH-1000XM4 Headphones,2,349.99,699.98,North America,Credit Card,4.7,"""Great sound quality"," comfortable fit"""
P032,10032,2024-02-01,Home Appliances,Instant Pot Duo,3,89.99,269.97,Europe,PayPal,4.5,"""Versatile cooker"," saves time"""
P033,10033,2024-02-02,Clothing,Under Armour HeatGear T-Shirt,5,29.99,149.95,Asia,Debit Card,4.2,"""Breathable fabric"," good for workouts"""
P034,10034,2024-02-03,Books,1984 by George Orwell,4,19.99,79.96,North America,Credit Card,4.6,"""Thought-provoking dystopian classic"""
P035,10035,2024-02-04,Beauty Products,L'Oreal Revitalift Serum,2,39.99,79.98,Europe,PayPal,4.1,"""Noticeable reduction in fine lines"""
P036,10036,2024-02-05,Sports,Peloton Bike,1,1895,1895,Asia,Credit Card,4.8,"""Excellent workout experience"," motivating classes"""
P037,10037,2024-02-06,Electronics,Apple Watch Series 8,3,399.99,1199.97,North America,Credit Card,4.7,"""Accurate health tracking"," sleek design"""
P038,10038,2024-02-07,Home Appliances,Roomba i7+,2,799.99,1599.98,Europe,PayPal,4.6,"""Efficient cleaning"," self-emptying feature"""
P039,10039,2024-02-08,Clothing,Columbia Fleece Jacket,4,59.99,239.96,Asia,Debit Card,4.4,"""Warm and lightweight"," perfect for layering"""
P040,10040,2024-02-09,Books,Harry Potter and the Sorcerer's Stone,3,24.99,74.97,North America,Credit Card,4.8,"""Magical story"," great for all ages"""
P041,10041,2024-02-10,Beauty Products,Estee Lauder Advanced Night Repair,1,105,105,Europe,PayPal,4.5,"""Skin feels rejuvenated in the morning"""
P042,10042,2024-02-11,Sports,Fitbit Charge 5,2,129.99,259.98,Asia,Credit Card,4.3,"""Accurate fitness tracking"," good battery"""
P043,10043,2024-02-12,Electronics,GoPro HERO10 Black,3,399.99,1199.97,North America,Credit Card,4.6,"""High-quality video"," great stabilization"""
P044,10044,2024-02-13,Home Appliances,Nespresso VertuoPlus,1,199.99,199.99,Europe,PayPal,4.4,"""Consistent coffee"," easy to use"""
P045,10045,2024-02-14,Clothing,Patagonia Better Sweater,2,139.99,279.98,Asia,Debit Card,4.7,"""Comfortable"," versatile for outdoor activities"""
P046,10046,2024-02-15,Books,Becoming by Michelle Obama,4,32.5,130,North America,Credit Card,4.6,"""Inspiring memoir"," well-written"""
P047,10047,2024-02-16,Beauty Products,Clinique Moisture Surge,1,52,52,Europe,PayPal,4.2,"""Hydrating without feeling heavy"""
P048,10048,2024-02-17,Sports,Yeti Rambler Tumbler,6,39.99,239.94,Asia,Credit Card,4.5,"""Keeps drinks hot/cold for hours"""
P049,10049,2024-02-18,Electronics,Kindle Paperwhite,2,129.99,259.98,North America,Credit Card,4.7,"""Easy on eyes"," great battery life"""
P050,10050,2024-02-19,Home Appliances,Breville Smart Oven,1,299.99,299.99,Europe,PayPal,4.4,"""Versatile cooking"," even heating"""
P051,10051,2024-02-20,Clothing,Ray-Ban Aviator Sunglasses,3,154.99,464.97,Asia,Debit Card,4.6,"""Classic style"," good UV protection"""
P052,10052,2024-02-21,Books,The Silent Patient by Alex Michaelides,2,26.99,53.98,North America,Credit Card,4.3,"""Psychological thriller with great twist"""
P053,10053,2024-02-22,Beauty Products,Shiseido Ultimate Sun Protector,1,49,49,Europe,PayPal,4.1,"""Lightweight"," doesn't leave white cast"""
P054,10054,2024-02-23,Sports,Titleist Pro V1 Golf Balls,5,49.99,249.95,Asia,Credit Card,4.7,"""Consistent flight"," great distance"""
P055,10055,2024-02-24,Electronics,Anker PowerCore Portable Charger,4,59.99,239.96,North America,Credit Card,4.4,"""Reliable power bank"," fast charging"""
P056,10056,2024-02-25,Home Appliances,KitchenAid Artisan Stand Mixer,1,499.99,499.99,Europe,PayPal,4.8,"""Powerful mixing"," durable construction"""
P057,10057,2024-02-26,Clothing,Calvin Klein Boxer Briefs,5,29.99,149.95,Asia,Debit Card,4.2,"""Comfortable fit"," breathable fabric"""
P058,10058,2024-02-27,Books,Educated by Tara Westover,3,28,84,North America,Credit Card,4.7,"""Powerful memoir about education and resilience"""
P059,10059,2024-02-28,Beauty Products,Anastasia Beverly Hills Brow Wiz,2,23,46,Europe,PayPal,4.5,"""Precise application"," natural look"""
P060,10060,2024-02-29,Sports,Hyperice Hypervolt Massager,1,349,349,Asia,Credit Card,4.6,"""Effective muscle relief"," multiple settings"""
P061,10061,2024-03-01,Electronics,Nintendo Switch,3,299.99,899.97,North America,Credit Card,4.7,"""Fun gaming system"," versatile usage"""
P062,10062,2024-03-02,Home Appliances,Philips Airfryer XXL,2,199.99,399.98,Europe,PayPal,4.4,"""Healthy cooking option"," spacious"""
P063,10063,2024-03-03,Clothing,Hanes ComfortSoft T-Shirt,10,9.99,99.9,Asia,Debit Card,4.0,"""Soft fabric"," good basic tee"""
P064,10064,2024-03-04,Books,Where the Crawdads Sing by Delia Owens,4,18.99,75.96,North America,Credit Card,4.6,"""Beautiful writing"," engaging story"""
P065,10065,2024-03-05,Beauty Products,Lancome La Vie Est Belle,1,102,102,Europe,PayPal,4.4,"""Lovely fragrance"," long-lasting"""
P066,10066,2024-03-06,Sports,Garmin Edge 530,2,299.99,599.98,Asia,Credit Card,4.5,"""Detailed cycling metrics"," good battery"""
P067,10067,2024-03-07,Electronics,Samsung QLED 4K TV,1,1199.99,1199.99,North America,Credit Card,4.8,"""Stunning picture quality"," smart features"""
P068,10068,2024-03-08,Home Appliances,Eufy RoboVac 11S,3,219.99,659.97,Europe,PayPal,4.3,"""Good suction"," quiet operation"""
P069,10069,2024-03-09,Clothing,Puma Suede Classic Sneakers,4,59.99,239.96,Asia,Debit Card,4.4,"""Comfortable"," stylish casual shoes"""
P070,10070,2024-03-10,Books,The Great Gatsby by F. Scott Fitzgerald,2,10.99,21.98,North America,Credit Card,4.5,"""American classic"," beautiful prose"""
P071,10071,2024-03-11,Beauty Products,Drunk Elephant C-Firma Day Serum,1,78,78,Europe,PayPal,4.2,"""Brightens skin"," lightweight texture"""
P072,10072,2024-03-12,Sports,Nike Metcon 6,3,129.99,389.97,Asia,Credit Card,4.5,"""Stable platform for weight training"""
P073,10073,2024-03-13,Electronics,HP Spectre x360 Laptop,1,1599.99,1599.99,North America,Credit Card,4.6,"""Sleek design"," powerful performance"""
P074,10074,2024-03-14,Home Appliances,De'Longhi Magnifica Espresso Machine,1,899.99,899.99,Europe,PayPal,4.7,"""Professional-quality espresso at home"""
P075,10075,2024-03-15,Clothing,Tommy Hilfiger Polo Shirt,5,49.99,249.95,Asia,Debit Card,4.3,"""Classic style"," comfortable fit"""
P076,10076,2024-03-16,Books,To Kill a Mockingbird by Harper Lee,4,14.99,59.96,North America,Credit Card,4.8,"""Timeless story with important themes"""
P077,10077,2024-03-17,Beauty Products,Glossier Boy Brow,2,16,32,Europe,PayPal,4.4,"""Natural-looking brow definition"""
P078,10078,2024-03-18,Sports,Rogue Fitness Kettlebell,3,69.99,209.97,Asia,Credit Card,4.5,"""Durable construction"," good weight"""
P079,10079,2024-03-19,Electronics,Apple AirPods Pro,2,249.99,499.98,North America,Credit Card,4.7,"""Excellent sound"," good noise cancellation"""
P080,10080,2024-03-20,Home Appliances,Dyson Pure Cool Link,1,499.99,499.99,Europe,PayPal,4.5,"""Good air purification"," stylish design"""
P081,10081,2024-03-21,Clothing,Levi's Trucker Jacket,2,89.99,179.98,Asia,Debit Card,4.4,"""Classic denim jacket"," versatile"""
P082,10082,2024-03-22,Books,The Hobbit by J.R.R. Tolkien,3,12.99,38.97,North America,Credit Card,4.7,"""Fantasy adventure"," great storytelling"""
P083,10083,2024-03-23,Beauty Products,Charlotte Tilbury Magic Cream,1,100,100,Europe,PayPal,4.3,"""Luxurious feel"," hydrating"""
P084,10084,2024-03-24,Sports,Spalding NBA Street Basketball,6,24.99,149.94,Asia,Credit Card,4.2,"""Good outdoor basketball"," durable"""
P085,10085,2024-03-25,Electronics,Ring Video Doorbell,1,99.99,99.99,North America,Credit Card,4.5,"""Useful security feature"," easy installation"""
P086,10086,2024-03-26,Home Appliances,LG OLED TV,2,1299.99,2599.98,Europe,PayPal,4.8,"""Amazing picture quality"," thin design"""
P087,10087,2024-03-27,Clothing,Uniqlo Ultra Light Down Jacket,3,79.99,239.97,Asia,Debit Card,4.5,"""Warm yet lightweight"," packs small"""
P088,10088,2024-03-28,Books,The Catcher in the Rye by J.D. Salinger,4,13.99,55.96,North America,Credit Card,4.4,"""Coming-of-age classic"," unique voice"""
P089,10089,2024-03-29,Beauty Products,Sunday Riley Good Genes,1,105,105,Europe,PayPal,4.6,"""Noticeable improvement in skin texture"""
P090,10090,2024-03-30,Sports,On Running Cloud Shoes,2,129.99,259.98,Asia,Credit Card,4.4,"""Comfortable for running"," lightweight"""
P091,10091,2024-03-31,Electronics,Logitech MX Master 3 Mouse,2,99.99,199.98,North America,Credit Card,4.7,"""Ergonomic design"," smooth scrolling"""
P092,10092,2024-04-01,Home Appliances,Instant Pot Duo Crisp,1,179.99,179.99,Europe,PayPal,4.5,"""Versatile appliance"," multiple functions"""
P093,10093,2024-04-02,Clothing,Adidas Originals Superstar Sneakers,4,79.99,319.96,Asia,Debit Card,4.6,"""Iconic style"," comfortable"""
P094,10094,2024-04-03,Books,The Alchemist by Paulo Coelho,3,14.99,44.97,North America,Credit Card,4.3,"""Inspiring story"," philosophical themes"""
P095,10095,2024-04-04,Beauty Products,Tatcha The Water Cream,1,68,68,Europe,PayPal,4.4,"""Lightweight hydration"," absorbs quickly"""
P096,10096,2024-04-05,Sports,Garmin Fenix 6X Pro,1,999.99,999.99,Asia,Credit Card,4.7,"""Advanced features for outdoor activities"""
P097,10097,2024-04-06,Electronics,Bose SoundLink Revolve+ Speaker,3,299.99,899.97,North America,Credit Card,4.6,"""360-degree sound"," good battery"""
P098,10098,2024-04-07,Home Appliances,Vitamix Explorian Blender,1,349.99,349.99,Europe,PayPal,4.8,"""Powerful blending"," durable construction"""
P099,10099,2024-04-08,Clothing,Gap Essential Crewneck T-Shirt,6,19.99,119.94,Asia,Debit Card,4.1,"""Soft cotton"," good basic shirt"""
P100,10100,2024-04-09,Books,The Power of Now by Eckhart Tolle,2,12.99,25.98,North America,Credit Card,4.4,"""Transformative spiritual guide"""
P101,10101,2024-04-10,Beauty Products,Kiehl's Midnight Recovery Concentrate,1,82,82,Europe,PayPal,4.5,"""Skin feels refreshed in morning"""
P102,10102,2024-04-11,Sports,Under Armour HOVR Sonic 4 Shoes,2,109.99,219.98,Asia,Credit Card,4.3,"""Responsive cushioning"," good for running"""
P103,10103,2024-04-12,Electronics,Canon EOS R5 Camera,1,3899.99,3899.99,North America,Credit Card,4.9,"""Professional quality"," excellent autofocus"""
P104,10104,2024-04-13,Home Appliances,Shark IQ Robot Vacuum,2,349.99,699.98,Europe,PayPal,4.5,"""Efficient cleaning"," self-emptying base"""
P105,10105,2024-04-14,Clothing,H&M Slim Fit Jeans,3,39.99,119.97,Asia,Debit Card,4.0,"""Good fit for the price"""
