Product ID,Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method,Rating,Reviews
P001,10001,2024-01-01,Electronics,iPhone 14 Pro,2,999.99,1999.98,North America,Credit Card,4,Excellent quality and value. Highly recommend.
P002,10002,2024-01-02,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Europe,PayPal,3,It works as described, but the quality is just so-so.
P003,10003,2024-01-03,Clothing,Levi's 501 Jeans,3,69.99,209.97,Asia,Debit Card,5,Works perfectly and is incredibly well-made.
P004,10004,2024-01-04,Books,The Da Vinci Code,4,15.99,63.96,North America,Credit Card,5,Brilliant! I would definitely buy this again.
P005,10005,2024-01-05,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,Europe,PayPal,4,Absolutely fantastic! Exceeded all my expectations.
P006,10006,2024-01-06,Sports,Nike Air Max 270,2,150.0,300.0,Asia,Credit Card,4,Top-notch quality. You won't be disappointed.
P007,10007,2024-01-07,Electronics,Samsung Galaxy S22,1,799.99,799.99,North America,Debit Card,4,Excellent quality and value. Highly recommend.
P008,10008,2024-01-08,Home Appliances,Keurig K-Elite Coffee Maker,1,129.99,129.99,Europe,PayPal,5,Brilliant! I would definitely buy this again.
P009,10009,2024-01-09,Clothing,Adidas Ultraboost,2,180.0,360.0,Asia,Credit Card,4,I'm so happy with this. It's exactly what I wanted.
P010,10010,2024-01-10,Books,To Kill a Mockingbird,5,12.99,64.95,North America,Credit Card,4,Love it! The design is great and it's very effective.
P011,10011,2024-01-11,Beauty Products,Fenty Beauty Foundation,1,36.0,36.0,Europe,PayPal,5,Brilliant! I would definitely buy this again.
P012,10012,2024-01-12,Sports,Yoga Mat,3,29.99,89.97,Asia,Debit Card,5,I'm so happy with this. It's exactly what I wanted.
P013,10013,2024-01-13,Electronics,Apple Watch Series 8,1,399.0,399.0,North America,Credit Card,5,A truly wonderful product. I'm very impressed.
P014,10014,2024-01-14,Home Appliances,Instant Pot Duo,1,89.99,89.99,Europe,Credit Card,5,Top-notch quality. You won't be disappointed.
P015,10015,2024-01-15,Clothing,Patagonia Better Sweater,1,139.0,139.0,Asia,PayPal,4,A perfect product. Does everything it promises.
P016,10016,2024-01-16,Books,1984 by George Orwell,4,9.99,39.96,North America,Debit Card,4,Absolutely fantastic! Exceeded all my expectations.
P017,10017,2024-01-17,Beauty Products,La Mer Moisturizing Cream,1,190.0,190.0,Europe,Credit Card,4,A truly wonderful product. I'm very impressed.
P018,10018,2024-01-18,Sports,Lululemon Align Leggings,2,98.0,196.0,Asia,PayPal,5,A perfect product. Does everything it promises.
P019,10019,2024-01-19,Electronics,Sony WH-1000XM5 Headphones,1,399.99,399.99,North America,Credit Card,4,Love it! The design is great and it's very effective.
P020,10020,2024-01-20,Home Appliances,Roomba i7+ Robot Vacuum,1,799.99,799.99,Europe,Debit Card,5,Excellent quality and value. Highly recommend.
P021,10021,2024-01-21,Clothing,Nike Dunk Low,3,110.0,330.0,Asia,Credit Card,2,It's okay. It does the job but nothing special.
P022,10022,2024-01-22,Books,The Great Gatsby,5,10.0,50.0,North America,PayPal,3,It's okay. It does the job but nothing special.
P023,10023,2024-01-23,Beauty Products,Dior Addict Lip Glow,1,35.0,35.0,Europe,Credit Card,5,Five stars! The best purchase I've made this year.
P024,10024,2024-01-24,Sports,Fitbit Charge 5,1,149.95,149.95,Asia,Debit Card,4,Top-notch quality. You won't be disappointed.
P025,10025,2024-01-25,Electronics,MacBook Air M2,1,1199.0,1199.0,North America,Credit Card,4,Works perfectly and is incredibly well-made.
P026,10026,2024-01-26,Home Appliances,Air Fryer,2,89.95,179.9,Europe,PayPal,4,Brilliant! I would definitely buy this again.
P027,10027,2024-01-27,Clothing,The North Face Jacket,1,250.0,250.0,Asia,Credit Card,4,A truly wonderful product. I'm very impressed.
P028,10028,2024-01-28,Books,Sapiens: A Brief History of Humankind,3,22.0,66.0,North America,Debit Card,3,There are better options out there, but this one is adequate.
P029,10029,2024-01-29,Beauty Products,Supergoop! Unseen Sunscreen,2,34.0,68.0,Europe,Credit Card,4,Brilliant! I would definitely buy this again.
P030,10030,2024-01-30,Sports,Peloton Bike,1,1445.0,1445.0,North America,PayPal,5,Love it! The design is great and it's very effective.
P031,10031,2024-01-31,Electronics,GoPro HERO11 Black,1,499.99,499.99,Europe,Credit Card,5,A truly wonderful product. I'm very impressed.
P032,10032,2024-02-01,Home Appliances,Blender,3,45.5,136.5,Asia,Debit Card,2,The product is average. Met my basic needs.
P033,10033,2024-02-02,Clothing,Uniqlo Airism T-shirt,5,19.9,99.5,North America,Credit Card,5,A truly wonderful product. I'm very impressed.
P034,10034,2024-02-03,Books,Atomic Habits,4,16.99,67.96,Europe,PayPal,4,Love it! The design is great and it's very effective.
P035,10035,2024-02-04,Beauty Products,The Ordinary Niacinamide,3,6.5,19.5,Asia,Credit Card,5,Works perfectly and is incredibly well-made.
P036,10036,2024-02-05,Sports,Wilson Evolution Basketball,2,59.99,119.98,North America,Debit Card,5,I'm so happy with this. It's exactly what I wanted.
P037,10037,2024-02-06,Electronics,Amazon Kindle Paperwhite,1,139.99,139.99,Europe,Credit Card,4,Brilliant! I would definitely buy this again.
P038,10038,2024-02-07,Home Appliances,Electric Kettle,2,25.0,50.0,Asia,PayPal,4,Excellent quality and value. Highly recommend.
P039,10039,2024-02-08,Clothing,Dr. Martens 1460 Boots,1,150.0,150.0,North America,Credit Card,4,Top-notch quality. You won't be disappointed.
P040,10040,2024-02-09,Books,Where the Crawdads Sing,3,14.99,44.97,Europe,Debit Card,5,Excellent quality and value. Highly recommend.
P041,10041,2024-02-10,Beauty Products,Glow Recipe Watermelon Glow,1,34.0,34.0,Asia,Credit Card,4,A perfect product. Does everything it promises.
P042,10042,2024-02-11,Sports,Manduka PRO Yoga Mat,1,120.0,120.0,North America,PayPal,3,I have mixed feelings about this product.
P043,10043,2024-02-12,Electronics,iPad Pro,1,799.0,799.0,Europe,Credit Card,4,I'm so happy with this. It's exactly what I wanted.
P044,10044,2024-02-13,Home Appliances,Toaster,4,30.0,120.0,Asia,Debit Card,4,Brilliant! I would definitely buy this again.
P045,10045,2024-02-14,Clothing,H&M Hoodie,3,24.99,74.97,North America,Credit Card,5,Brilliant! I would definitely buy this again.
P046,10046,2024-02-15,Books,The Silent Patient,2,13.99,27.98,Europe,PayPal,4,A truly wonderful product. I'm very impressed.
P047,10047,2024-02-16,Beauty Products,Laneige Lip Sleeping Mask,2,22.0,44.0,Asia,Credit Card,4,A perfect product. Does everything it promises.
P048,10048,2024-02-17,Sports,Gaiam Yoga Block,2,10.99,21.98,North America,Debit Card,5,A truly wonderful product. I'm very impressed.
P049,10049,2024-02-18,Electronics,Bose SoundLink Revolve,1,199.0,199.0,Europe,Credit Card,5,Five stars! The best purchase I've made this year.
P050,10050,2024-02-19,Home Appliances,Microwave Oven,1,99.99,99.99,Asia,PayPal,4,Love it! The design is great and it's very effective.
P051,10051,2024-02-20,Clothing,Zara Dress,1,79.9,79.9,North America,Credit Card,4,Excellent quality and value. Highly recommend.
P052,10052,2024-02-21,Books,Becoming by Michelle Obama,3,18.99,56.97,Europe,Debit Card,4,A truly wonderful product. I'm very impressed.
P053,10053,2024-02-22,Beauty Products,Charlotte Tilbury Pillow Talk Lipstick,1,34.0,34.0,Asia,Credit Card,4,Love it! The design is great and it's very effective.
